Date,Price,Open,High,Low,Vol.,Change %
12/21/2021,143.47,142.05,143.87,140.5,28.76M,1.32%
12/20/2021,141.61,140,141.77,139.32,27.19M,-0.08%
12/17/2021,141.73,142.5,143.83,141.3,51.02M,-1.88%
12/16/2021,144.45,147.17,147.68,143.61,33.65M,-1.36%
12/15/2021,146.44,143.41,146.72,141.68,36.37M,1.76%
12/14/2021,143.91,143.97,144.48,141.21,38.45M,-1.32%
12/13/2021,145.83,147.78,147.97,145.52,27.07M,-1.47%
12/10/2021,148,148.7,148.98,146.7,24.46M,0.25%
12/9/2021,147.64,147.59,149.1,147.12,23.27M,-0.37%
12/8/2021,148.19,147.6,148.39,146.41,24.27M,0.62%
12/7/2021,147.27,145.6,147.53,145.23,32.24M,2.87%
12/6/2021,143.15,143.04,143.85,140.15,30.62M,0.81%
12/3/2021,142,143.68,144.4,140.3,41.23M,-0.67%
12/2/2021,142.97,141.25,143.86,140.21,29.19M,1.36%
12/1/2021,141.05,144,145.95,140.91,34.06M,-0.60%
11/30/2021,141.9,145.01,146,141.6,42.07M,-2.50%
11/29/2021,145.53,144,146.3,143.89,32.60M,2.35%
11/26/2021,142.18,144.35,144.56,141.84,30.47M,-2.69%
11/24/2021,146.12,145.47,146.25,144.37,18.04M,0.23%
11/23/2021,145.78,146.15,146.66,144.12,27.23M,-0.36%
11/22/2021,146.3,149.33,149.83,146.15,30.63M,-1.76%
11/19/2021,148.93,149.98,150.97,148.9,33.70M,-0.61%
11/18/2021,149.84,148.24,150.58,147.88,35.63M,1.21%
11/17/2021,148.05,148.03,148.56,147.24,19.60M,0.12%
11/16/2021,147.88,148.15,148.76,147.31,18.90M,-0.39%
11/15/2021,148.45,148.9,149.55,147.57,23.51M,-0.15%
11/12/2021,148.68,146.62,148.85,145.41,22.36M,2.00%
11/11/2021,145.77,146.49,147.54,145.6,16.52M,-0.09%
11/10/2021,145.89,147.5,148.07,144.54,29.97M,-2.03%
11/9/2021,148.92,149.23,149.83,147.24,19.53M,-0.08%
11/8/2021,149.03,149.82,150.61,148.43,23.05M,0.12%
11/5/2021,148.85,149.17,150.33,148.2,38.35M,0.39%
